node_id,community,age,gender,profile_pic,activity,reaction,post per day,group vs personal post
365,WBJDF,22.0,1.0,2.0,3.0,1.0,6.0,0.9
369,WBJDF,28.0,1.0,1.0,2.0,1.0,4.0,0.75
372,WBJDF,57.0,1.0,2.0,2.0,1.0,4.0,0.89
389,WBJDF,53.0,2.0,2.0,1.0,1.0,6.0,0.76
398,WBJDF,39.0,2.0,1.0,1.0,2.0,4.0,0.84
403,WBJDF,21.0,1.0,1.0,3.0,2.0,5.0,0.8
412,WBJDF,53.0,2.0,1.0,2.0,2.0,5.0,0.8
413,WBJDF,35.0,2.0,2.0,3.0,1.0,4.0,0.71
417,WBJDF,24.0,1.0,2.0,3.0,1.0,4.0,0.76
422,WBJDF,58.0,1.0,1.0,1.0,2.0,7.0,0.82
427,WBJDF,19.0,1.0,2.0,2.0,2.0,6.0,0.73
435,WBJDF,57.0,1.0,1.0,1.0,1.0,5.0,0.78
438,WBJDF,54.0,2.0,1.0,3.0,1.0,6.0,0.76
440,WBJDF,26.0,2.0,1.0,3.0,1.0,4.0,0.8
442,WBJDF,23.0,1.0,1.0,2.0,2.0,5.0,0.74
443,WBJDF,55.0,1.0,1.0,1.0,2.0,6.0,0.84
444,WBJDF,45.0,1.0,1.0,3.0,2.0,7.0,0.77
445,WBJDF,47.0,1.0,2.0,2.0,2.0,5.0,0.71
447,WBJDF,39.0,2.0,2.0,2.0,1.0,7.0,0.89
448,WBJDF,41.0,2.0,2.0,3.0,2.0,5.0,0.85
453,WBJDF,28.0,2.0,2.0,3.0,1.0,5.0,0.85
456,WBJDF,18.0,2.0,1.0,2.0,1.0,6.0,0.87
457,WBJDF,34.0,1.0,2.0,2.0,1.0,6.0,0.73
459,WBJDF,41.0,1.0,1.0,1.0,2.0,4.0,0.73
460,WBJDF,30.0,1.0,1.0,3.0,1.0,4.0,0.71
466,WBJDF,22.0,1.0,2.0,2.0,2.0,4.0,0.75
468,WBJDF,52.0,2.0,1.0,1.0,1.0,4.0,0.85
469,WBJDF,22.0,2.0,2.0,3.0,2.0,5.0,0.73
470,WBJDF,52.0,2.0,2.0,2.0,1.0,7.0,0.89
476,WBJDF,46.0,2.0,2.0,1.0,1.0,4.0,0.8
479,WBJDF,41.0,1.0,2.0,1.0,2.0,4.0,0.87
485,WBJDF,35.0,2.0,2.0,1.0,1.0,5.0,0.82
488,WBJDF,39.0,1.0,1.0,2.0,2.0,6.0,0.81
491,WBJDF,51.0,1.0,2.0,1.0,1.0,7.0,0.78
492,WBJDF,53.0,1.0,2.0,1.0,2.0,7.0,0.83
494,WBJDF,32.0,1.0,1.0,1.0,2.0,6.0,0.78
502,WBJDF,20.0,2.0,1.0,3.0,2.0,5.0,0.86
510,WBJDF,37.0,1.0,2.0,3.0,2.0,6.0,0.75
511,WBJDF,37.0,2.0,2.0,1.0,1.0,4.0,0.72
515,WBJDF,36.0,2.0,1.0,2.0,1.0,6.0,0.81
518,WBJDF,48.0,1.0,2.0,1.0,2.0,5.0,0.73
523,WBJDF,33.0,2.0,1.0,3.0,1.0,6.0,0.74
527,WBJDF,50.0,2.0,2.0,3.0,2.0,5.0,0.9
528,WBJDF,42.0,2.0,2.0,2.0,1.0,4.0,0.85
532,WBJDF,37.0,2.0,1.0,3.0,1.0,6.0,0.77
535,WBJDF,41.0,1.0,1.0,3.0,1.0,6.0,0.78
538,WBJDF,27.0,2.0,1.0,3.0,1.0,4.0,0.8
541,WBJDF,25.0,1.0,2.0,3.0,2.0,4.0,0.76
542,WBJDF,31.0,2.0,2.0,2.0,1.0,6.0,0.76
543,WBJDF,52.0,2.0,1.0,1.0,2.0,7.0,0.75
549,WBJDF,30.0,2.0,1.0,1.0,2.0,4.0,0.74
552,WBJDF,45.0,2.0,1.0,3.0,2.0,5.0,0.73
553,WBJDF,35.0,1.0,1.0,3.0,2.0,6.0,0.87
554,WBJDF,35.0,1.0,2.0,1.0,1.0,5.0,0.85
556,WBJDF,30.0,1.0,2.0,1.0,2.0,7.0,0.9
557,WBJDF,29.0,1.0,2.0,3.0,2.0,4.0,0.82
562,WBJDF,39.0,1.0,1.0,2.0,2.0,7.0,0.73
564,WBJDF,48.0,2.0,1.0,1.0,1.0,4.0,0.8
575,WBJDF,35.0,1.0,2.0,3.0,1.0,4.0,0.88
577,WBJDF,45.0,1.0,2.0,1.0,1.0,7.0,0.82
581,WBJDF,56.0,1.0,1.0,1.0,1.0,5.0,0.86
583,WBJDF,36.0,1.0,1.0,2.0,2.0,4.0,0.75
588,WBJDF,19.0,2.0,2.0,3.0,1.0,7.0,0.73
589,WBJDF,48.0,2.0,1.0,3.0,2.0,7.0,0.89
593,WBJDF,56.0,1.0,2.0,3.0,2.0,5.0,0.8
594,WBJDF,48.0,2.0,2.0,2.0,2.0,4.0,0.88
600,WBJDF,27.0,2.0,2.0,2.0,1.0,5.0,0.81
601,WBJDF,44.0,1.0,1.0,3.0,2.0,7.0,0.76
606,WBJDF,43.0,1.0,2.0,2.0,2.0,7.0,0.84
609,WBJDF,47.0,1.0,1.0,3.0,1.0,5.0,0.79
616,WBJDF,53.0,1.0,1.0,1.0,1.0,5.0,0.73
617,WBJDF,38.0,2.0,1.0,2.0,2.0,4.0,0.86
619,WBJDF,45.0,1.0,1.0,3.0,1.0,5.0,0.9
621,WBJDF,22.0,1.0,1.0,1.0,2.0,5.0,0.87
631,WBJDF,23.0,2.0,1.0,1.0,1.0,5.0,0.83
632,WBJDF,37.0,1.0,2.0,2.0,2.0,7.0,0.86
639,WBJDF,19.0,1.0,2.0,3.0,1.0,7.0,0.86
643,WBJDF,39.0,1.0,1.0,1.0,2.0,5.0,0.7
645,WBJDF,43.0,1.0,1.0,3.0,1.0,7.0,0.88
647,WBJDF,52.0,1.0,2.0,1.0,2.0,7.0,0.71
651,WBJDF,18.0,1.0,2.0,1.0,1.0,5.0,0.71
656,WBJDF,25.0,1.0,2.0,3.0,2.0,6.0,0.83
658,WBJDF,19.0,1.0,2.0,2.0,1.0,5.0,0.73
667,WBJDF,34.0,1.0,2.0,3.0,2.0,5.0,0.85
671,WBJDF,32.0,1.0,2.0,3.0,2.0,4.0,0.9
677,WBJDF,20.0,2.0,1.0,1.0,1.0,6.0,0.85
689,WBJDF,20.0,1.0,2.0,3.0,2.0,4.0,0.73
690,WBJDF,46.0,2.0,1.0,2.0,2.0,7.0,0.76
696,WBJDF,53.0,1.0,1.0,2.0,2.0,7.0,0.86
702,WBJDF,51.0,1.0,2.0,2.0,2.0,4.0,0.82
704,WBJDF,28.0,1.0,2.0,3.0,2.0,7.0,0.8
707,WBJDF,18.0,1.0,2.0,3.0,1.0,7.0,0.76
712,WBJDF,51.0,1.0,2.0,3.0,1.0,5.0,0.73
713,WBJDF,41.0,2.0,2.0,1.0,2.0,6.0,0.77
714,WBJDF,42.0,1.0,1.0,3.0,1.0,6.0,0.77
716,WBJDF,47.0,2.0,2.0,1.0,2.0,6.0,0.76
719,WBJDF,29.0,2.0,2.0,2.0,1.0,4.0,0.86
720,WBJDF,57.0,2.0,1.0,1.0,2.0,4.0,0.74
721,WBJDF,32.0,2.0,1.0,3.0,2.0,4.0,0.75
722,WBJDF,38.0,1.0,2.0,2.0,1.0,7.0,0.8
731,WBJDF,18.0,2.0,1.0,2.0,1.0,6.0,0.79
738,WBJDF,19.0,1.0,2.0,2.0,1.0,4.0,0.79
743,WBJDF,27.0,2.0,2.0,3.0,2.0,7.0,0.71
760,WBJDF,39.0,2.0,1.0,2.0,2.0,4.0,0.79
762,WBJDF,56.0,2.0,1.0,1.0,1.0,5.0,0.86
765,WBJDF,57.0,2.0,2.0,1.0,1.0,7.0,0.88
768,WBJDF,48.0,2.0,1.0,1.0,1.0,4.0,0.86
775,WBJDF,57.0,1.0,1.0,3.0,1.0,6.0,0.77
788,WBJDF,46.0,1.0,2.0,2.0,1.0,5.0,0.83
791,WBJDF,23.0,2.0,1.0,1.0,1.0,7.0,0.77
800,WBJDF,59.0,2.0,2.0,3.0,2.0,6.0,0.79
801,WBJDF,53.0,2.0,2.0,1.0,2.0,7.0,0.89
802,WBJDF,31.0,2.0,1.0,2.0,1.0,6.0,0.8
803,WBJDF,32.0,1.0,1.0,1.0,1.0,4.0,0.83
806,WBJDF,51.0,1.0,1.0,3.0,1.0,6.0,0.79
811,WBJDF,54.0,1.0,2.0,2.0,1.0,5.0,0.83
812,WBJDF,41.0,2.0,1.0,3.0,2.0,6.0,0.81
815,WBJDF,48.0,2.0,1.0,1.0,1.0,6.0,0.71
817,WBJDF,42.0,2.0,2.0,1.0,2.0,6.0,0.75
819,WBJDF,44.0,1.0,1.0,1.0,2.0,7.0,0.84
827,WBJDF,48.0,2.0,1.0,3.0,2.0,7.0,0.8
831,WBJDF,21.0,1.0,2.0,3.0,1.0,4.0,0.86
832,WBJDF,34.0,2.0,1.0,2.0,1.0,6.0,0.73
835,WBJDF,53.0,2.0,2.0,3.0,2.0,6.0,0.71
836,WBJDF,59.0,2.0,1.0,1.0,2.0,5.0,0.83
837,WBJDF,19.0,2.0,2.0,2.0,2.0,7.0,0.82
842,WBJDF,40.0,1.0,1.0,3.0,2.0,6.0,0.82
845,WBJDF,49.0,1.0,1.0,2.0,2.0,4.0,0.86
847,WBJDF,21.0,1.0,1.0,3.0,2.0,7.0,0.75
848,WBJDF,44.0,1.0,2.0,2.0,2.0,6.0,0.89
855,WBJDF,23.0,1.0,2.0,2.0,1.0,4.0,0.88
856,WBJDF,33.0,1.0,2.0,2.0,2.0,5.0,0.88
860,WBJDF,51.0,2.0,1.0,3.0,2.0,5.0,0.86
869,WBJDF,47.0,1.0,1.0,1.0,2.0,6.0,0.75
870,WBJDF,52.0,2.0,2.0,3.0,1.0,6.0,0.87
873,WBJDF,22.0,1.0,2.0,2.0,1.0,5.0,0.89
875,WBJDF,41.0,1.0,1.0,1.0,2.0,4.0,0.89
877,WBJDF,49.0,1.0,2.0,3.0,1.0,4.0,0.88
879,WBJDF,31.0,2.0,1.0,1.0,1.0,6.0,0.85
880,WBJDF,33.0,2.0,1.0,2.0,1.0,5.0,0.74
883,WBJDF,51.0,2.0,1.0,2.0,1.0,6.0,0.73
885,WBJDF,35.0,2.0,2.0,2.0,2.0,4.0,0.81
886,WBJDF,23.0,1.0,2.0,3.0,2.0,4.0,0.88
888,WBJDF,53.0,1.0,2.0,3.0,2.0,6.0,0.8
890,WBJDF,58.0,2.0,2.0,3.0,1.0,4.0,0.8
892,WBJDF,59.0,1.0,1.0,1.0,2.0,7.0,0.84
894,WBJDF,40.0,1.0,1.0,3.0,2.0,5.0,0.72
895,WBJDF,54.0,1.0,2.0,1.0,2.0,7.0,0.79
903,WBJDF,49.0,1.0,1.0,3.0,1.0,7.0,0.77
907,WBJDF,39.0,1.0,2.0,3.0,2.0,4.0,0.75
908,WBJDF,56.0,1.0,2.0,3.0,1.0,5.0,0.75
920,WBJDF,50.0,2.0,1.0,3.0,1.0,6.0,0.86
925,WBJDF,43.0,2.0,2.0,1.0,2.0,5.0,0.89
929,WBJDF,21.0,1.0,2.0,2.0,1.0,7.0,0.85
930,WBJDF,32.0,2.0,1.0,1.0,1.0,6.0,0.89
932,WBJDF,47.0,1.0,2.0,2.0,1.0,4.0,0.8
936,WBJDF,43.0,1.0,1.0,3.0,2.0,6.0,0.77
938,WBJDF,23.0,2.0,1.0,3.0,1.0,5.0,0.89
945,WBJDF,35.0,1.0,1.0,1.0,2.0,5.0,0.75
947,WBJDF,54.0,1.0,1.0,1.0,1.0,6.0,0.72
954,WBJDF,20.0,2.0,1.0,2.0,1.0,7.0,0.82
955,WBJDF,24.0,2.0,1.0,1.0,2.0,5.0,0.88
956,WBJDF,26.0,2.0,2.0,3.0,2.0,7.0,0.79
960,WBJDF,31.0,1.0,1.0,1.0,1.0,4.0,0.78
964,WBJDF,39.0,2.0,1.0,3.0,2.0,6.0,0.83
968,WBJDF,57.0,1.0,2.0,2.0,1.0,4.0,0.78
974,WBJDF,27.0,1.0,1.0,1.0,1.0,5.0,0.82
978,WBJDF,38.0,1.0,2.0,1.0,1.0,5.0,0.77
979,WBJDF,54.0,1.0,2.0,2.0,2.0,4.0,0.73
988,WBJDF,59.0,1.0,2.0,1.0,2.0,4.0,0.82
989,WBJDF,20.0,1.0,2.0,1.0,2.0,4.0,0.85
993,WBJDF,37.0,1.0,1.0,3.0,2.0,4.0,0.85
994,WBJDF,58.0,2.0,2.0,1.0,2.0,5.0,0.82
1006,WBJDF,57.0,2.0,1.0,2.0,1.0,5.0,0.72
1008,WBJDF,47.0,2.0,1.0,2.0,2.0,7.0,0.84
1010,WBJDF,29.0,2.0,2.0,1.0,2.0,7.0,0.75
1013,WBJDF,39.0,1.0,2.0,2.0,1.0,6.0,0.71
1015,WBJDF,49.0,2.0,2.0,1.0,1.0,7.0,0.79
1016,WBJDF,52.0,1.0,2.0,1.0,1.0,6.0,0.86
1020,WBJDF,57.0,1.0,1.0,1.0,1.0,4.0,0.78
1021,WBJDF,20.0,1.0,1.0,3.0,1.0,6.0,0.78
1032,WBJDF,24.0,1.0,1.0,3.0,2.0,4.0,0.84
1035,WBJDF,49.0,2.0,1.0,2.0,1.0,4.0,0.8
1037,WBJDF,36.0,1.0,2.0,2.0,2.0,6.0,0.81
1039,WBJDF,24.0,2.0,1.0,3.0,2.0,4.0,0.89
1055,WBJDF,29.0,2.0,2.0,1.0,1.0,7.0,0.77
1058,WBJDF,19.0,2.0,1.0,3.0,2.0,7.0,0.82
1060,WBJDF,20.0,2.0,2.0,1.0,1.0,5.0,0.73
1061,WBJDF,52.0,2.0,2.0,2.0,2.0,5.0,0.85
1062,WBJDF,19.0,2.0,2.0,2.0,2.0,7.0,0.77
1075,WBJDF,46.0,2.0,2.0,2.0,2.0,4.0,0.84
1076,WBJDF,54.0,1.0,1.0,1.0,2.0,6.0,0.82
1077,WBJDF,56.0,1.0,2.0,2.0,1.0,4.0,0.88
1088,WBJDF,36.0,1.0,2.0,2.0,1.0,6.0,0.72
1089,WBJDF,31.0,2.0,1.0,1.0,2.0,4.0,0.72
1090,WBJDF,48.0,1.0,2.0,3.0,2.0,6.0,0.89
1109,WBJDF,56.0,1.0,2.0,2.0,1.0,5.0,0.8
1110,WBJDF,18.0,1.0,2.0,1.0,2.0,5.0,0.86
1111,WBJDF,41.0,2.0,2.0,2.0,1.0,6.0,0.79
1117,WBJDF,30.0,2.0,1.0,3.0,2.0,4.0,0.71
1120,WBJDF,40.0,1.0,2.0,1.0,1.0,7.0,0.85
1121,WBJDF,57.0,1.0,1.0,2.0,2.0,4.0,0.77
1122,WBJDF,22.0,2.0,2.0,1.0,2.0,7.0,0.8
1127,WBJDF,52.0,2.0,1.0,2.0,1.0,7.0,0.83
1130,WBJDF,29.0,2.0,1.0,3.0,2.0,5.0,0.83
1132,WBJDF,37.0,2.0,1.0,3.0,2.0,7.0,0.85
1135,WBJDF,34.0,1.0,2.0,3.0,2.0,5.0,0.82
1136,WBJDF,44.0,2.0,2.0,3.0,1.0,5.0,0.74
1138,WBJDF,35.0,1.0,2.0,3.0,1.0,5.0,0.85
1142,WBJDF,50.0,1.0,1.0,3.0,2.0,4.0,0.72
1149,WBJDF,36.0,2.0,1.0,3.0,1.0,6.0,0.87
1150,WBJDF,34.0,2.0,1.0,3.0,2.0,4.0,0.9
1151,WBJDF,37.0,1.0,1.0,1.0,2.0,7.0,0.86
1153,WBJDF,46.0,2.0,1.0,3.0,2.0,6.0,0.79
1154,WBJDF,42.0,1.0,1.0,3.0,1.0,6.0,0.78
1164,WBJDF,51.0,1.0,1.0,2.0,1.0,4.0,0.88
1165,WBJDF,22.0,2.0,1.0,3.0,1.0,7.0,0.7
1168,WBJDF,24.0,1.0,2.0,1.0,2.0,4.0,0.88
1171,WBJDF,46.0,2.0,1.0,3.0,1.0,4.0,0.76
1180,WBJDF,51.0,2.0,1.0,3.0,1.0,7.0,0.77
1181,WBJDF,36.0,2.0,1.0,2.0,2.0,4.0,0.76
1186,WBJDF,34.0,1.0,1.0,2.0,1.0,6.0,0.78
1188,WBJDF,39.0,1.0,2.0,2.0,1.0,6.0,0.84
1193,WBJDF,59.0,2.0,1.0,1.0,1.0,6.0,0.9
1199,WBJDF,22.0,2.0,1.0,1.0,2.0,4.0,0.78
1202,WBJDF,55.0,1.0,2.0,1.0,2.0,6.0,0.75
1203,WBJDF,59.0,2.0,2.0,2.0,1.0,4.0,0.76
1208,WBJDF,56.0,1.0,2.0,3.0,1.0,7.0,0.82
1219,WBJDF,55.0,2.0,1.0,3.0,1.0,5.0,0.84
1223,WBJDF,42.0,2.0,2.0,1.0,1.0,7.0,0.84
1224,WBJDF,39.0,2.0,1.0,1.0,2.0,7.0,0.82
1226,WBJDF,35.0,2.0,1.0,1.0,1.0,5.0,0.84
1228,WBJDF,37.0,2.0,2.0,1.0,2.0,4.0,0.83
1229,WBJDF,35.0,1.0,1.0,2.0,2.0,6.0,0.87
1234,WBJDF,46.0,1.0,2.0,2.0,1.0,7.0,0.83
1236,WBJDF,57.0,1.0,2.0,1.0,2.0,7.0,0.9
1238,WBJDF,30.0,1.0,1.0,3.0,1.0,6.0,0.83
1252,WBJDF,25.0,1.0,2.0,3.0,2.0,6.0,0.85
1257,WBJDF,26.0,2.0,1.0,3.0,2.0,7.0,0.71
1261,WBJDF,23.0,2.0,2.0,3.0,1.0,5.0,0.86
1266,WBJDF,23.0,1.0,2.0,2.0,1.0,7.0,0.85
1267,WBJDF,23.0,1.0,2.0,1.0,2.0,5.0,0.79
1270,WBJDF,29.0,2.0,2.0,3.0,1.0,7.0,0.73
1275,WBJDF,40.0,1.0,1.0,2.0,1.0,5.0,0.72
1280,WBJDF,43.0,1.0,2.0,1.0,1.0,7.0,0.76
1284,WBJDF,55.0,2.0,2.0,1.0,1.0,7.0,0.84
1285,WBJDF,18.0,2.0,2.0,1.0,1.0,6.0,0.8
1287,WBJDF,50.0,2.0,1.0,1.0,2.0,5.0,0.81
1293,WBJDF,35.0,1.0,1.0,1.0,2.0,4.0,0.88
1299,WBJDF,49.0,1.0,2.0,3.0,1.0,4.0,0.86
1303,WBJDF,28.0,1.0,1.0,2.0,2.0,5.0,0.81
1304,WBJDF,31.0,2.0,1.0,1.0,2.0,7.0,0.7
1312,WBJDF,49.0,2.0,2.0,1.0,2.0,4.0,0.71
1318,WBJDF,48.0,2.0,1.0,3.0,2.0,6.0,0.82
1319,WBJDF,46.0,2.0,2.0,2.0,1.0,6.0,0.74
1320,WBJDF,26.0,1.0,2.0,3.0,2.0,6.0,0.82
1326,WBJDF,52.0,1.0,2.0,2.0,1.0,7.0,0.82
1338,WBJDF,31.0,1.0,1.0,2.0,2.0,6.0,0.84
1341,WBJDF,57.0,2.0,2.0,2.0,1.0,7.0,0.87
1342,WBJDF,32.0,2.0,2.0,2.0,1.0,6.0,0.79
1343,WBJDF,39.0,2.0,2.0,3.0,1.0,4.0,0.77
1344,WBJDF,26.0,1.0,2.0,1.0,1.0,4.0,0.9
1348,WBJDF,52.0,2.0,1.0,1.0,1.0,7.0,0.78
1350,WBJDF,49.0,1.0,2.0,3.0,2.0,4.0,0.78
1356,WBJDF,49.0,1.0,2.0,1.0,1.0,7.0,0.8
1357,WBJDF,23.0,2.0,1.0,3.0,2.0,7.0,0.84
1359,WBJDF,54.0,2.0,1.0,3.0,2.0,7.0,0.72
1363,WBJDF,25.0,1.0,2.0,1.0,1.0,6.0,0.77
1371,WBJDF,52.0,2.0,1.0,3.0,2.0,6.0,0.72
1376,WBJDF,23.0,2.0,2.0,1.0,1.0,6.0,0.85
1377,WBJDF,40.0,1.0,1.0,3.0,2.0,5.0,0.88
1382,WBJDF,31.0,2.0,1.0,1.0,2.0,4.0,0.89
1386,WBJDF,55.0,1.0,2.0,2.0,1.0,4.0,0.82
1396,WBJDF,26.0,1.0,2.0,3.0,1.0,6.0,0.78
1400,WBJDF,59.0,2.0,2.0,1.0,1.0,4.0,0.87
1401,WBJDF,28.0,2.0,2.0,3.0,1.0,7.0,0.76
1408,WBJDF,48.0,2.0,2.0,1.0,2.0,7.0,0.75
1411,WBJDF,51.0,2.0,1.0,2.0,1.0,4.0,0.74
1413,WBJDF,48.0,2.0,2.0,3.0,1.0,6.0,0.71
1416,WBJDF,32.0,1.0,2.0,1.0,1.0,5.0,0.73
1420,WBJDF,55.0,2.0,1.0,1.0,2.0,6.0,0.88
1422,WBJDF,55.0,1.0,1.0,1.0,2.0,5.0,0.79
1425,WBJDF,36.0,2.0,2.0,2.0,2.0,5.0,0.71
1427,WBJDF,28.0,2.0,2.0,1.0,2.0,6.0,0.78
1435,WBJDF,38.0,2.0,1.0,3.0,2.0,6.0,0.76
1438,WBJDF,56.0,2.0,2.0,3.0,2.0,6.0,0.7
1439,WBJDF,31.0,1.0,2.0,1.0,2.0,7.0,0.72
1440,WBJDF,30.0,2.0,1.0,1.0,1.0,5.0,0.86
1443,WBJDF,21.0,2.0,1.0,1.0,1.0,7.0,0.79
1448,WBJDF,28.0,1.0,1.0,1.0,1.0,4.0,0.88
1459,WBJDF,32.0,2.0,1.0,1.0,1.0,6.0,0.73
1461,WBJDF,44.0,1.0,2.0,2.0,2.0,5.0,0.77
